id,name,acquired,slug,genres,year,franchise
80379,The Big Bang Theory,False,the-big-bang-theory,"Comedy, Romance",2007,The Big Bang Theory Franchise
79168,Friends,False,friends,Comedy,1994,Serie TV USA
78107,The Office,False,the-office,"Drama, Comedy",2001,Tv shows I've watched
73244,The Office (US),False,the-office-us,Comedy,2005,ended
121361,Game of Thrones,False,game-of-thrones,"Fantasy, Drama, Adventure, Action",2011,To watch
81189,Breaking Bad,False,breaking-bad,"Drama, Crime, Thriller, Western",2008,Breaking Bad Franchise
76156,Scrubs,False,scrubs,"Drama, Comedy",2001,Shows That Cheated Death
74852,Avatar: The Last Airbender,False,avatar-the-last-airbender,"Fantasy, Family, Drama, Comedy, Children, Animation, Adventure, Action, Mystery, Martial Arts",2005,Pache KODI Series en KIDS
360261,Euphoria (US),False,euphoria-us,Drama,2019,Recent/Current LGBTQ+-focused Series
323385,The Bold Type,False,the-bold-type,"Drama, Comedy",2017,Shows Set at Magazines
314614,Fleabag,False,fleabag,"Drama, Comedy",2016,Emily's Favorite Content
361753,The Mandalorian,False,the-mandalorian,"Science Fiction, Fantasy, Adventure, Action",2019,Star Wars Franchise
153021,The Walking Dead,False,the-walking-dead,"Horror, Drama, Adventure, Thriller",2010,The Walking Dead Franchise
74995,Cosmos,False,cosmos,Documentary,1980,Cosmos
188401,Regular Show,False,regular-show,"Science Fiction, Fantasy, Family, Comedy, Animation, Adventure, Action",2010,كرتون
330374,Atypical,False,atypical,"Drama, Comedy, Romance",2017,New Courtes
356317,Sex Education,False,sex-education,"Drama, Comedy",2019,TheTVDB’s Best Shows of 2020
289590,Mr. Robot,False,mr-robot,"Drama, Crime, Thriller",2015,watchlist
355567,The Boys,False,the-boys,"Science Fiction, Fantasy, Drama, Crime, Comedy, Action",2019,to_watch
368207,INVINCIBLE (2021),False,invincible-2021,"Science Fiction, Drama, Animation, Action",2021,New TV Series Releases
70327,Buffy the Vampire Slayer,False,buffy-the-vampire-slayer,"Horror, Fantasy, Drama, Comedy, Adventure, Action, Romance",1997,Buffyverse
399838,BEEF,False,beef,"Drama, Comedy",2023,Vista
72218,Smallville,False,smallville,"Science Fiction, Drama, Adventure, Romance",2001,Mine
270408,Outlander,False,outlander,"Fantasy, Drama, Romance",2014,Ulisses
321239,The Handmaid's Tale,False,the-handmaids-tale,"Science Fiction, Drama, Thriller",2017,My Current TV Shows
401003,FROM,False,from,"Science Fiction, Horror, Drama, Thriller, Mystery",2022,Serie TV USA
287247,Schitt's Creek,False,schitts-creek,Comedy,2015,Our Favorite TV Moms
466852,Big Mistakes,False,big-mistakes,"Crime, Comedy",2026,_404 posters.
383203,Ted Lasso,False,ted-lasso,"Drama, Comedy, Sport",2020,Favorite Shows
390430,The White Lotus,False,the-white-lotus,"Drama, Comedy",2021,posters
253463,Black Mirror,False,black-mirror,"Science Fiction, Drama, Thriller",2011,Serie TV EUR
403092,Deadloch,False,deadloch,"Crime, Comedy",2023,"AU/NZ Crime, Mystery & Drama (Series)"
305288,Stranger Things,False,stranger-things,"Science Fiction, Horror, Fantasy, Drama, Adventure, Suspense, Thriller, Mystery",2016,Favoriete
80348,Chuck,False,chuck,"Drama, Comedy, Adventure, Action",2007,Johnnybebad1972
417909,Gen V,False,varsity,"Science Fiction, Drama, Action",2023,Johnnybebad1972
416744,Fallout,False,fallout,"Science Fiction, Drama, Action, War",2024,Must Watch TV
270633,True Detective,False,true-detective,"Drama, Crime, Thriller, Mystery",2014,Serie TV USA
259063,Hannibal,False,hannibal,"Horror, Drama, Crime, Thriller, Mystery",2013,Serie TV USA
360893,Chernobyl,False,chernobyl,"Mini-Series, Drama, Thriller, History",2019,مسلسلاتي
366924,Reacher,False,reacher,"Drama, Crime, Action, Thriller",2022,My Series
176941,Sherlock,False,sherlock,"Drama, Crime, Suspense, Thriller, Mystery",2010,Serie TV EUR
328724,Young Sheldon,False,young-sheldon,"Family, Drama, Comedy",2017,The Big Bang Theory Franchise
362696,The Witcher,False,the-witcher,"Fantasy, Drama, Adventure, Action, Mystery",2019,Vivement la suite
392256,The Last of Us,False,the-last-of-us,"Science Fiction, Horror, Drama, Adventure, Action",2023,To Watch
296762,Westworld,False,westworld,"Science Fiction, Drama, Adventure, Western, Mystery",2016,TheTVDB’s Best Shows of 2020
331980,Marvel's The Punisher,False,marvels-the-punisher,"Drama, Crime, Adventure, Action, Thriller",2017,Marvel Cinematic Universe
134511,Blue Mountain State,False,blue-mountain-state,"Comedy, Sport",2010,American Football #sport
281662,Marvel's Daredevil,False,marvels-daredevil,"Science Fiction, Fantasy, Drama, Crime, Adventure, Action, Thriller",2015,Marvel Cinematic Universe
403245,Silo,False,wool,"Science Fiction, Drama",2023,My Shows 
458043,Åremorden,False,aremorden,"Drama, Crime, Suspense, Mystery",2025,
371980,Severance,False,severance,"Science Fiction, Drama, Thriller, Mystery",2022,Series currently airing
273181,Better Call Saul,False,better-call-saul,"Drama, Crime",2015,Breaking Bad Franchise
383275,오징어 게임,False,squid-game,"Drama, Action, Thriller, Mystery",2021,مسلسلاتي
417208,Pantheon,False,pantheon,"Science Fiction, Drama, Animation, Action",2022,Tv-series
348545,鬼滅の刃,False,demon-slayer-kimetsu-no-yaiba,"Fantasy, Drama, Animation, Adventure, Action, Thriller, Anime",2019,Demon Slayer: Kimetsu no Yaiba Franchise
85249,鋼の錬金術師 FULLMETAL ALCHEMIST,False,fullmetal-alchemist-brotherhood,"Science Fiction, Fantasy, Drama, Comedy, Animation, Adventure, Action, Anime",2009,انمياتي
80284,Shogun,False,shogun,"Mini-Series, Drama, Adventure, Action, History, War",1980,TV Series
371572,House of the Dragon,False,house-of-the-dragon,"Fantasy, Drama, Adventure, Action, War",2022,Game of Thrones Franchise
411959,3 Body Problem,False,three-body-problem,"Science Fiction, Fantasy, Drama, Adventure, Thriller, Mystery",2024,The Three-Body Problem Adaptations
270915,Peaky Blinders,False,peaky-blinders,"Drama, Crime",2013,مسلسلاتي
357888,"Love, Death & Robots",False,love-death-and-robots,"Science Fiction, Horror, Fantasy, Comedy, Animation, Thriller, Mystery",2019,Completed
284190,Marvel's Jessica Jones,False,marvels-jessica-jones,"Science Fiction, Drama, Crime, Action, Thriller",2015,Marvel Cinematic Universe
336924,You,False,you,"Drama, Crime, Thriller, Romance",2018,Must Watch
458912,Alien: Earth,False,alien-earth,"Science Fiction, Horror, Drama",2025,Alien Collection
85527,Yellowstone,False,yellowstone,Documentary,2009,
465189,Spartacus: House of Ashur,False,spartacus-house-of-ashur,"Drama, Adventure, Action, History",2025,Spartacus
397060,Wednesday,False,wednesday,"Horror, Fantasy, Drama, Comedy, Mystery",2022,Johnnybebad1972
334824,Dark,False,dark,"Science Fiction, Crime, Thriller, Mystery",2017,TV
295829,The Man in the High Castle,False,the-man-in-the-high-castle,"Science Fiction, Drama, Thriller",2015,New
367506,The Lord of the Rings: The Rings of Power,False,the-lord-of-the-rings,"Fantasy, Drama, Adventure, Action, Mystery",2022,Middle-earth
384429,1899,False,1899-show,"Adventure, Action, Thriller, Mystery, History",2022,Debbie list
129261,Spartacus,False,spartacus,"Drama, Adventure, Action, Romance, History",2010,Tv shows I've watched
75299,The Sopranos,False,the-sopranos,"Drama, Crime",1999,The Sopranos Franchise
448023,Georgie & Mandy's First Marriage,False,georgie-and-mandy,"Family, Drama, Comedy",2024,The Big Bang Theory Franchise
372264,Slow Horses,False,slow-horses,"Suspense, Thriller",2022,TV
341164,Yellowstone (2018),False,yellowstone-2018,"Drama, Western",2018,Trakt Library
371028,Arcane,False,arcane,"Science Fiction, Fantasy, Drama, Animation, Adventure, Action",2021,مسلسلاتي
74608,Top Gear,False,top-gear,"Documentary, Comedy, Talk Show, Travel",2002,Clarkson / Hammond / May
269586,Brooklyn Nine-Nine,False,brooklyn-nine-nine,Comedy,2013,Judymdgummug
70626,Charmed,False,charmed,"Fantasy, Drama, Suspense, Romance, Mystery",1998,Shows with Strong Female Leads
327417,La casa de papel,False,la-casa-de-papel,"Drama, Crime, Action, Thriller, Mystery",2017,Papirhuset
293088,ワンパンマン,False,one-punch-man,"Science Fiction, Fantasy, Comedy, Animation, Action, Anime",2015,انمياتي
250487,American Horror Story,False,american-horror-story,"Horror, Drama, Thriller",2011,Serie TV USA
